individual_id,breed_from_dicom_dir
205629,Duroc
205631,Duroc
205660,Duroc
205674,Duroc
205682,Duroc
205754,Duroc
205755,Duroc
205764,Duroc
205765,Duroc
205784,Duroc
205790,Duroc
205792,Duroc
205795,Duroc
205805,Duroc
205806,Duroc
205814,Duroc
205817,Duroc
205819,Duroc
205826,Duroc
205827,Duroc
205832,Duroc
205835,Duroc
205836,Duroc
205838,Duroc
205839,Duroc
205841,Duroc
205842,Duroc
205847,Duroc
205856,Duroc
205870,Duroc
205908,Duroc
205912,Duroc
205929,Duroc
205944,Duroc
205963,Duroc
205965,Duroc
205969,Duroc
205971,Duroc
205976,Duroc
205979,Duroc
205984,Duroc
205985,Duroc
205986,Duroc
205993,Duroc
206105,Duroc
206110,Duroc
206111,Duroc
206113,Duroc
206114,Duroc
206117,Duroc
206118,Duroc
206119,Duroc
206120,Duroc
206127,Duroc
206129,Duroc
206134,Duroc
206149,Duroc
206150,Duroc
206168,Duroc
206178,Duroc
206192,Duroc
206195,Duroc
206199,Duroc
206210,Duroc
206215,Duroc
206227,Duroc
206235,Duroc
206237,Duroc
206240,Duroc
206245,Duroc
206246,Duroc
206249,Duroc
206253,Duroc
206274,Duroc
206330,Duroc
206391,Duroc
206545,Duroc
206547,Duroc
206549,Duroc
206553,Duroc
206555,Duroc
206558,Duroc
206563,Duroc
206581,Duroc
206583,Duroc
206585,Duroc
206589,Duroc
206595,Duroc
207501,Duroc
207512,Duroc
207513,Duroc
207514,Duroc
207517,Duroc
207518,Duroc
207530,Duroc
207531,Duroc
207541,Duroc
207549,Duroc
207551,Duroc
207557,Duroc
207632,Duroc
207633,Duroc
207634,Duroc
207639,Duroc
207661,Duroc
207662,Duroc
207669,Duroc
207707,Duroc
207710,Duroc
207711,Duroc
207723,Duroc
207725,Duroc
207735,Duroc
207737,Duroc
207740,Duroc
207741,Duroc
207807,Duroc
207811,Duroc
207812,Duroc
207815,Duroc
207823,Duroc
207829,Duroc
207834,Duroc
207841,Duroc
207847,Duroc
207848,Duroc
207849,Duroc
207855,Duroc
207856,Duroc
207860,Duroc
207863,Duroc
207865,Duroc
207866,Duroc
207869,Duroc
207871,Duroc
207876,Duroc
207878,Duroc
207897,Duroc
207931,Duroc
207948,Duroc
207953,Duroc
207956,Duroc
207960,Duroc
207991,Duroc
207995,Duroc
207996,Duroc
208004,Duroc
208006,Duroc
208012,Duroc
208013,Duroc
208057,Duroc
208081,Duroc
208102,Duroc
208111,Duroc
208117,Duroc
208140,Duroc
208145,Duroc
208148,Duroc
208164,Duroc
208165,Duroc
208192,Duroc
208220,Duroc
208226,Duroc
208227,Duroc
208231,Duroc
208238,Duroc
208239,Duroc
208283,Duroc
208292,Duroc
208297,Duroc
208312,Duroc
208329,Duroc
208330,Duroc
208333,Duroc
208335,Duroc
208342,Duroc
208347,Duroc
208348,Duroc
208349,Duroc
208350,Duroc
208353,Duroc
208354,Duroc
208356,Duroc
208365,Duroc
208366,Duroc
208368,Duroc
208375,Duroc
208384,Duroc
208386,Duroc
208387,Duroc
208393,Duroc
208406,Duroc
208414,Duroc
208418,Duroc
208419,Duroc
208420,Duroc
208446,Duroc
208485,Duroc
208487,Duroc
208488,Duroc
208625,Duroc
208684,Duroc
208686,Duroc
208692,Duroc
208875,Duroc
208883,Duroc
208887,Duroc
208897,Duroc
208900,Duroc
209002,Duroc
209004,Duroc
209006,Duroc
209013,Duroc
209014,Duroc
209022,Duroc
209023,Duroc
209024,Duroc
209035,Duroc
209043,Duroc
209049,Duroc
209050,Duroc
209055,Duroc
209057,Duroc
209060,Duroc
209075,Duroc
209103,Duroc
209107,Duroc
209116,Duroc
209122,Duroc
209130,Duroc
209133,Duroc
209137,Duroc
209139,Duroc
209143,Duroc
209148,Duroc
209154,Duroc
209159,Duroc
209164,Duroc
209171,Duroc
209182,Duroc
209184,Duroc
209188,Duroc
209190,Duroc
209193,Duroc
209194,Duroc
209195,Duroc
209229,Duroc
209243,Duroc
209248,Duroc
209252,Duroc
209256,Duroc
209258,Duroc
209261,Duroc
209278,Duroc
209283,Duroc
209287,Duroc
209298,Duroc
211477,Duroc
211488,Duroc
501550,EB5
501602,EB5
501607,EB5
501608,EB5
501613,EB5
501616,EB5
501626,EB5
501628,EB5
501636,EB5
501642,EB5
501646,EB5
501654,EB5
501658,EB5
501663,EB5
501670,EB5
501671,EB5
501672,EB5
501680,EB5
501681,EB5
501682,EB5
501693,EB5
501695,EB5
501751,EB5
501753,EB5
501755,EB5
501756,EB5
501757,EB5
501758,EB5
501784,EB5
501786,EB5
501787,EB5
501790,EB5
501796,EB5
501802,EB5
501805,EB5
501806,EB5
501809,EB5
501813,EB5
501817,EB5
501819,EB5
501827,EB5
501832,EB5
501836,EB5
501841,EB5
501848,EB5
501851,EB5
501854,EB5
501868,EB5
501869,EB5
501874,EB5
501875,EB5
501876,EB5
501877,EB5
501884,EB5
501888,EB5
501934,EB5
501977,EB5
501996,EB5
502006,EB5
502008,EB5
502009,EB5
502011,EB5
502024,EB5
502206,EB5
502212,EB5
502249,EB5
502250,EB5
502261,EB5
502267,EB5
502270,EB5
502277,EB5
502285,EB5
502286,EB5
502294,EB5
502299,EB5
502301,EB5
502332,EB5
502365,EB5
503202,EB5
503204,EB5
503213,EB5
503218,EB5
503226,EB5
503240,EB5
503275,EB5
503286,EB5
503296,EB5
503297,EB5
503299,EB5
503300,EB5
305393,Landrace
305404,Landrace
305414,Landrace
305486,Landrace
305487,Landrace
305514,Landrace
305515,Landrace
305588,Landrace
305810,Landrace
305835,Landrace
305851,Landrace
305930,Landrace
305931,Landrace
305959,Landrace
308210,Landrace
308221,Landrace
308232,Landrace
308235,Landrace
308240,Landrace
308243,Landrace
308246,Landrace
308249,Landrace
308301,Landrace
308308,Landrace
308320,Landrace
308325,Landrace
308329,Landrace
308347,Landrace
308348,Landrace
308351,Landrace
308354,Landrace
308374,Landrace
308379,Landrace
308393,Landrace
308395,Landrace
308435,Landrace
308468,Landrace
308493,Landrace
308495,Landrace
308577,Landrace
309030,Landrace
309053,Landrace
309059,Landrace
309062,Landrace
309064,Landrace
309065,Landrace
309072,Landrace
