network,seed,case_id,source,class_id,class_name,is_evaluable,domain_voxels,GT_voxels,Pred_voxels,TP,FP,FN,TN,TP_percent,FP_percent,FN_percent,TN_percent,Dice,IoU,Precision,Recall,Specificity,FPR,FP_GT_ratio,HD95,missed,absent_FP_voxels,absent_FP_rate,absent_FP_incidence
nnunet_2d_condlr,20260522,133140_114338,TB,1,front,True,19418664,4962314,4892350,4880489,11861,81825,14444489,25.132980312136823,0.06108041212309972,0.42137296366011584,74.38456631207997,0.9904932324430341,0.9811655199103368,0.997575602726706,0.9835107169759915,0.9991795301026885,0.0008204698973115621,0.002390215532511647,5.0,False,nan,nan,nan
nnunet_2d_condlr,20260522,133140_114338,TB,2,middle,True,19418664,5104963,5160616,5039375,121241,65588,14192460,25.951193140784557,0.6243529420973554,0.337757530590158,73.08669638652793,0.9818004420403369,0.9642514911396494,0.9765064868225034,0.9871521106029564,0.9915297238638701,0.008470276136129992,0.023749633444943675,5.0,False,nan,nan,nan
nnunet_2d_condlr,20260522,133140_114338,TB,3,end,True,19418664,4932786,4966380,4893095,73285,39691,14412593,25.197897239480533,0.3773946549566953,0.20439614177370802,74.22031196378907,0.9885873213965701,0.9774322018205495,0.9852437791711468,0.9919536343153748,0.9949409348884479,0.005059065111552092,0.0148567158599623,4.026470337517247,False,nan,nan,nan
nnunet_2d_condlr,20260522,133140_114338,TB,4,left_kidney,True,19418664,64089,61608,60572,1036,3517,19353539,0.3119267113329732,0.005335073514841186,0.01811144165221665,99.66462677349996,0.9637779740168819,0.9300882917466411,0.9831840020776522,0.9451231880665949,0.9999464726040226,5.352739597743686e-05,0.01616502051834168,1.953125,False,nan,nan,nan
nnunet_2d_condlr,20260522,133140_114338,TB,5,right_kidney,True,19418664,61689,60577,58463,2114,3226,19354861,0.30106602596347515,0.010886433793797555,0.016612883357990025,99.67143465688474,0.9563247345950632,0.9163048759462721,0.9651022665368044,0.9477054256026196,0.9998907887208616,0.00010921127913839843,0.03426867026536336,4.882809829711929,False,nan,nan,nan
nnunet_2d_condlr,20260522,133140_114338,TB,6,testis,True,19418664,264418,259422,249836,9586,14582,19144660,1.2865766666543075,0.04936487906686063,0.07509270462684765,98.58896574965198,0.9538637751985339,0.9117969080743347,0.963048623478348,0.9448524684401213,0.9994995365518434,0.0005004634481566123,0.036253205152448016,7.764399848253709,False,nan,nan,nan
nnunet_2d_condlr,20260522,133140_114338,TB,7,thoracic_cavity,True,19418664,967864,960686,945354,15332,22510,18435468,4.868275181032022,0.07895496827176164,0.11591940619601843,94.9368504445002,0.9803780042000466,0.9615112347894011,0.9840405710086334,0.9767426002000281,0.9991690333210484,0.0008309666789515902,0.015841068579883124,5.0,False,nan,nan,nan
nnunet_2d_condlr,20260522,133140_114338,TB,8,abdominal_and_pelvic_cavity,True,19418664,3029366,3040203,2983038,57165,46328,16332133,15.36170562506257,0.29438173501534404,0.23857460018876686,84.10533803973333,0.9829488716579381,0.9664694765741864,0.9811969792806599,0.9847070311081593,0.9965120531703067,0.003487946829693377,0.018870285069549207,5.094474881320571,False,nan,nan,nan
nnunet_2d_condlr,20260522,133140_114338,TB,9,head,False,19418664,0,0,0,0,0,19418664,0.0,0.0,0.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0
nnunet_2d_condlr,20260522,156052000036762,HZAU,1,front,True,12788782,3240912,3218658,3186126,32532,54786,9515338,24.913443672743814,0.25437918951155786,0.4283910696108511,74.40378606813377,0.9864823819542168,0.9733253417501567,0.9898926819811238,0.9830954990447134,0.9965927479113142,0.003407252088685749,0.010037915253484204,5.0,False,nan,nan,nan
nnunet_2d_condlr,20260522,156052000036762,HZAU,2,middle,True,12788782,2983434,2983067,2933613,49454,49821,9755894,22.93895540638663,0.38669827978927157,0.3895679823145003,76.2847783315096,0.9833612698631912,0.9672671724112463,0.983421760221946,0.9833007869455131,0.9949564258198689,0.0050435741801310875,0.016576200445526865,5.0,False,nan,nan,nan
nnunet_2d_condlr,20260522,156052000036762,HZAU,3,end,True,12788782,3153163,3137884,3117761,20123,35402,9615496,24.3788736096995,0.15734883900593505,0.2768207324200225,75.18695681887453,0.9911739651603302,0.9825023650562855,0.993587079700843,0.9887725436331709,0.997911602773003,0.002088397226997041,0.006381845784693021,5.0,False,nan,nan,nan
nnunet_2d_condlr,20260522,156052000036762,HZAU,4,left_kidney,True,12788782,22093,22030,21580,450,513,12766239,0.1687416362246225,0.003518708818400376,0.004011328052976429,99.823728326904,0.9781746481426921,0.9572816395333363,0.9795733091239219,0.976779975557869,0.9999647520198855,3.524798011449954e-05,0.020368442493097362,1.2510013580322266,False,nan,nan,nan
nnunet_2d_condlr,20260522,156052000036762,HZAU,5,right_kidney,True,12788782,24940,17875,17576,299,7364,12763543,0.13743294709378892,0.0023379865260038054,0.05758171497488972,99.80264735140531,0.8210206703258204,0.696382582511193,0.9832727272727273,0.7047313552526062,0.9999765744514857,2.3425548514310975e-05,0.011988773055332799,12.509999847412132,False,nan,nan,nan
nnunet_2d_condlr,20260522,156052000036762,HZAU,6,testis,False,12788782,0,0,0,0,0,12788782,0.0,0.0,0.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0
nnunet_2d_condlr,20260522,156052000036762,HZAU,7,thoracic_cavity,True,12788782,621252,618878,615226,3652,6026,12163878,4.810669225575977,0.0285562768995515,0.047119420754845924,95.11365507676962,0.9921959794537669,0.9845128211693316,0.9940989985102072,0.9903002324338593,0.9996998569142628,0.00030014308573720385,0.005878451900356055,1.251007080078125,False,nan,nan,nan
nnunet_2d_condlr,20260522,156052000036762,HZAU,8,abdominal_and_pelvic_cavity,True,12788782,1837345,1847958,1825375,22583,11970,10928854,14.273251354194638,0.17658444721319044,0.09359765456945,85.45656654402272,0.9906241087910547,0.9814223991466337,0.9877794841657657,0.9934851647349845,0.9979378961865918,0.0020621038134082314,0.012291104827890243,3.7530059814453125,False,nan,nan,nan
nnunet_2d_condlr,20260522,156052000036762,HZAU,9,head,True,12788782,891348,926200,889491,36709,1857,11860725,6.955244056861709,0.28704062669924313,0.014520538390598888,92.74319477804845,0.9787813031622824,0.9584443627923716,0.9603660116605485,0.9979166386192598,0.9969145447665437,0.0030854552334562226,0.04118369032072771,5.0,False,nan,nan,nan
nnunet_2d_condlr,20260522,156052000030695,HZAU,1,front,True,11025014,2620359,2780706,2616366,164340,3993,8240315,23.731180749521045,1.490610352059417,0.036217641084174586,74.74199125733536,0.9688333689744523,0.9395507377996688,0.9408999009604035,0.9984761629990394,0.9804465501558363,0.01955344984416374,0.06271659722961624,25.0,False,nan,nan,nan
nnunet_2d_condlr,20260522,156052000030695,HZAU,2,middle,True,11025014,2789397,2734526,2714862,19664,74535,8215953,24.624567370163884,0.17835805015757802,0.6760535632879922,74.52102101639055,0.9829470830784571,0.9664660183598719,0.9928089913937552,0.9732791710896657,0.9976123221854537,0.0023876778145462568,0.007049552286748713,10.0,False,nan,nan,nan
nnunet_2d_condlr,20260522,156052000030695,HZAU,3,end,True,11025014,2617951,2673712,2605254,68458,12697,8338605,23.6303917618608,0.6209334518758888,0.11516538663805778,75.63350939962525,0.9846636114204551,0.9697905270567512,0.9743958960426553,0.9951500238163358,0.9918570849296597,0.00814291507034026,0.02614945810674073,10.97019100001174,False,nan,nan,nan
nnunet_2d_condlr,20260522,156052000030695,HZAU,4,left_kidney,True,11025014,21046,21621,20643,978,403,11002990,0.18723785747573654,0.008870737034891748,0.0036553241565044723,99.80023608133287,0.9676330653666768,0.9372956774427896,0.9547661995282365,0.9808514682124869,0.9999111229694597,8.887703054025603e-05,0.046469637935949826,5.154124525621267,False,nan,nan,nan
nnunet_2d_condlr,20260522,156052000030695,HZAU,5,right_kidney,True,11025014,18585,18346,18146,200,439,11006229,0.16458936015863562,0.0018140566533520956,0.00398185435410785,99.8296147288339,0.9826974628360997,0.9659834974713868,0.989098441077074,0.9763788001076137,0.9999818288020574,1.8171197942584283e-05,0.010761366693570083,1.2509994506835938,False,nan,nan,nan
nnunet_2d_condlr,20260522,156052000030695,HZAU,6,testis,False,11025014,0,0,0,0,0,11025014,0.0,0.0,0.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0
nnunet_2d_condlr,20260522,156052000030695,HZAU,7,thoracic_cavity,True,11025014,484682,484343,481398,2945,3284,10537387,4.36641622405196,0.026711984220609605,0.02978681024804141,95.57708498147939,0.9935718892701426,0.9872258919214891,0.9939195983012039,0.9932244234363975,0.9997205970362224,0.0002794029637776116,0.006076148897627723,1.2509994506835938,False,nan,nan,nan
nnunet_2d_condlr,20260522,156052000030695,HZAU,8,abdominal_and_pelvic_cavity,True,11025014,1433744,1433680,1423411,10269,10333,9581001,12.910740975022797,0.09314273886636334,0.09372323699543603,86.9023930491154,0.9928151539500262,0.9857328154247919,0.9928373137659728,0.9927929951232577,0.9989293388675327,0.0010706611324673375,0.007162366503364617,1.7691803896780303,False,nan,nan,nan
