network,seed,case_id,swap_rate,lp_dice_gap,merged_dice,split_dice,swap_voxels,has_swap
nnunet_2d,20260520,133140_114338,0.000000,0.000043,0.962935,0.962892,0,0
nnunet_2d,20260520,136518_122095,0.257718,0.257067,0.972414,0.715347,33736,1
nnunet_2d,20260520,136032_122089,0.000000,0.000123,0.964238,0.964115,0,0
nnunet_2d,20260520,136514_122984,0.002967,0.002894,0.968387,0.965493,364,1
nnunet_2d,20260520,146478_111610,0.000000,-0.000057,0.957336,0.957393,0,0
nnunet_2d,20260520,156052000036762,0.073884,0.074518,0.910937,0.836419,3475,1
nnunet_2d,20260520,156052000030695,0.031188,0.031062,0.979007,0.947945,1236,1
nnunet_2d,20260520,156052000030703,0.001941,0.001922,0.980996,0.979074,104,1
nnunet_2d,20260520,156052000036792,0.737992,0.748184,0.975330,0.227146,30761,1
nnunet_2d,20260520,156052000037111,0.000000,-0.000392,0.971828,0.972219,0,0
nnunet_2d,20260520,156052000036803,0.000464,0.000480,0.982311,0.981831,46,1
nnunet_2d,20260520,156052000037130,0.000000,-0.000105,0.979598,0.979703,0,0
nnunet_2d,20260520,156052000037131,0.000000,0.000076,0.984998,0.984922,0,0
nnunet_2d,20260520,156052000037132,0.000000,0.000293,0.966480,0.966188,0,0
nnunet_2d,20260520,156052000037134,0.000000,-0.000271,0.974133,0.974404,0,0
nnunet_2d,20260520,156052000037142,0.213470,0.212723,0.985735,0.773012,13293,1
nnunet_2d,20260520,156052000037184,0.007509,0.007255,0.976387,0.969132,297,1
nnunet_2d,20260520,156052000037201,0.000000,0.000216,0.983121,0.982905,0,0
nnunet_2d,20260520,156052000037404,0.044170,0.044815,0.968547,0.923732,2043,1
nnunet_2d,20260520,156052000037636,0.000000,0.000014,0.985521,0.985507,0,0
nnunet_2d,20260520,156052000037670,0.000000,-0.000028,0.979074,0.979102,0,0
nnunet_2d,20260520,156052000037691,0.000049,-0.000097,0.978707,0.978804,2,1
nnunet_2d,20260520,156202411000033,0.111265,0.113783,0.977901,0.864117,4270,1
nnunet_2d,20260520,156202411000574,0.000000,0.000119,0.982766,0.982646,0,0
nnunet_2d,20260520,205870_202923,0.000000,-0.000061,0.974473,0.974534,0,0
nnunet_2d,20260520,206178_202851,0.000000,0.000014,0.973167,0.973153,0,0
nnunet_2d,20260520,207541_202151,0.000000,0.000136,0.964048,0.963912,0,0
nnunet_2d,20260520,207633_204331,0.000000,-0.000024,0.975994,0.976019,0,0
