network,seed,case_id,source,class_label,class_name,dice,hd95
nnunet_v1,20260520,156052000037131,HZAU,1,front,0.983340,10.0000
nnunet_v1,20260520,156052000037131,HZAU,2,middle,0.978719,9.7686
nnunet_v1,20260520,156052000037131,HZAU,3,end,0.990629,5.0000
nnunet_v1,20260520,156052000037131,HZAU,4,left_kidney,0.981568,1.2510
nnunet_v1,20260520,156052000037131,HZAU,5,right_kidney,0.984630,1.2510
nnunet_v1,20260520,156052000037131,HZAU,7,thoracic_cavity,0.992466,1.2510
nnunet_v1,20260520,156052000037131,HZAU,8,abdominal_and_pelvic_cavity,0.993264,1.2510
nnunet_v1,20260520,156052000037131,HZAU,9,head,0.984594,5.0000
nnunet_v1,20260520,146478_111610,TB,1,front,0.980989,15.0000
nnunet_v1,20260520,146478_111610,TB,2,middle,0.963397,15.0000
nnunet_v1,20260520,146478_111610,TB,3,end,0.979591,10.0000
nnunet_v1,20260520,146478_111610,TB,4,left_kidney,0.951894,2.7621
nnunet_v1,20260520,146478_111610,TB,5,right_kidney,0.953767,2.1837
nnunet_v1,20260520,146478_111610,TB,6,testis,0.941228,5.0000
nnunet_v1,20260520,146478_111610,TB,7,thoracic_cavity,0.978545,3.0882
nnunet_v1,20260520,146478_111610,TB,8,abdominal_and_pelvic_cavity,0.981317,4.3673
nnunet_v1,20260520,156052000030695,HZAU,1,front,0.962678,25.0000
nnunet_v1,20260520,156052000030695,HZAU,2,middle,0.984340,5.0000
nnunet_v1,20260520,156052000030695,HZAU,3,end,0.990998,5.0000
nnunet_v1,20260520,156052000030695,HZAU,4,left_kidney,0.798406,127.4307
nnunet_v1,20260520,156052000030695,HZAU,5,right_kidney,0.645795,17.7349
nnunet_v1,20260520,156052000030695,HZAU,7,thoracic_cavity,0.992831,1.2510
nnunet_v1,20260520,156052000030695,HZAU,8,abdominal_and_pelvic_cavity,0.993301,1.2510
nnunet_v1,20260520,156052000030695,HZAU,9,head,0.912702,25.0000
nnunet_v1,20260520,156052000037132,HZAU,1,front,0.976530,11.8680
nnunet_v1,20260520,156052000037132,HZAU,2,middle,0.976951,10.0000
nnunet_v1,20260520,156052000037132,HZAU,3,end,0.989427,5.0000
nnunet_v1,20260520,156052000037132,HZAU,4,left_kidney,0.942801,6.3789
nnunet_v1,20260520,156052000037132,HZAU,5,right_kidney,0.968292,1.7692
nnunet_v1,20260520,156052000037132,HZAU,7,thoracic_cavity,0.993000,1.2510
nnunet_v1,20260520,156052000037132,HZAU,8,abdominal_and_pelvic_cavity,0.993755,1.2510
nnunet_v1,20260520,156052000037132,HZAU,9,head,0.968554,10.0000
nnunet_v1,20260520,156052000037111,HZAU,1,front,0.984755,10.0000
nnunet_v1,20260520,156052000037111,HZAU,2,middle,0.981145,7.3770
nnunet_v1,20260520,156052000037111,HZAU,3,end,0.990515,5.0000
nnunet_v1,20260520,156052000037111,HZAU,4,left_kidney,0.973026,2.0214
nnunet_v1,20260520,156052000037111,HZAU,5,right_kidney,0.966258,2.7120
nnunet_v1,20260520,156052000037111,HZAU,7,thoracic_cavity,0.990843,1.2785
nnunet_v1,20260520,156052000037111,HZAU,8,abdominal_and_pelvic_cavity,0.993525,1.8080
nnunet_v1,20260520,156052000037111,HZAU,9,head,0.980935,5.0000
