network,class_label,class_name,dice_mean,dice_std,hd95_mean,hd95_std,n
mednext_s,1,front,0.967462,0.012698,19.1674,5.8819,117
mednext_s,2,middle,0.955395,0.008168,15.1787,3.9735,117
mednext_s,3,end,0.976812,0.005439,9.0615,2.7556,117
mednext_s,4,left_kidney,0.817742,0.124906,67.5097,61.9787,117
mednext_s,5,right_kidney,0.842674,0.102665,69.2549,71.2752,117
mednext_s,6,testis,0.900507,0.019706,14.6712,14.7416,60
mednext_s,7,thoracic_cavity,0.976892,0.004858,4.4536,0.8161,117
mednext_s,8,abdominal_and_pelvic_cavity,0.973914,0.007243,6.5795,1.8888,117
mednext_s,9,head,0.939792,0.048670,17.3361,7.0170,57
nnunet_2d,1,front,0.985925,0.014327,8.4246,8.5178,117
nnunet_2d,2,middle,0.981591,0.008577,7.2795,5.7302,117
nnunet_2d,3,end,0.990382,0.003882,5.0379,4.0736,117
nnunet_2d,4,left_kidney,0.926155,0.126630,23.6683,44.3049,117
nnunet_2d,5,right_kidney,0.922809,0.156314,25.9529,49.7937,117
nnunet_2d,6,testis,0.947349,0.011587,6.7392,3.3582,60
nnunet_2d,7,thoracic_cavity,0.986890,0.006000,2.4381,1.3740,117
nnunet_2d,8,abdominal_and_pelvic_cavity,0.988690,0.005329,2.8899,1.4042,117
nnunet_2d,9,head,0.959553,0.059246,8.5779,7.7444,57
nnunet_v1,1,front,0.977517,0.011532,14.9145,6.7359,117
nnunet_v1,2,middle,0.971677,0.008988,11.9205,4.5081,117
nnunet_v1,3,end,0.985602,0.003969,7.3441,3.0642,117
nnunet_v1,4,left_kidney,0.915296,0.085723,37.8094,51.8968,117
nnunet_v1,5,right_kidney,0.915548,0.103726,35.0796,55.5593,117
nnunet_v1,6,testis,0.938893,0.012774,6.9554,2.6355,60
nnunet_v1,7,thoracic_cavity,0.985037,0.006733,2.6738,1.5512,117
nnunet_v1,8,abdominal_and_pelvic_cavity,0.987459,0.005885,3.1308,1.5711,117
nnunet_v1,9,head,0.952104,0.054398,13.7930,8.7886,57
segformer3d,1,front,0.974251,0.012183,15.0405,6.4498,117
segformer3d,2,middle,0.962650,0.008867,12.4590,4.7262,117
segformer3d,3,end,0.980975,0.004309,7.0990,2.5261,117
segformer3d,4,left_kidney,0.898518,0.083298,24.2970,41.4399,117
segformer3d,5,right_kidney,0.908361,0.065146,21.8897,38.4145,117
segformer3d,6,testis,0.924556,0.014796,7.9746,3.0360,60
segformer3d,7,thoracic_cavity,0.975262,0.004512,4.3472,1.0357,117
segformer3d,8,abdominal_and_pelvic_cavity,0.977741,0.005714,5.1563,1.0727,117
segformer3d,9,head,0.941382,0.049304,15.3645,7.5494,57
swinunetr,1,front,0.977010,0.011873,14.6630,6.2557,117
swinunetr,2,middle,0.969971,0.008725,12.0135,4.4909,117
swinunetr,3,end,0.985423,0.004610,6.9332,2.5829,117
swinunetr,4,left_kidney,0.933702,0.071565,15.0227,34.8565,117
swinunetr,5,right_kidney,0.934672,0.083555,17.3917,37.9645,117
swinunetr,6,testis,0.933563,0.012752,7.3957,3.0837,60
swinunetr,7,thoracic_cavity,0.984026,0.006657,2.9372,1.5404,117
swinunetr,8,abdominal_and_pelvic_cavity,0.985764,0.006320,3.6387,1.3921,117
swinunetr,9,head,0.952601,0.051604,13.4860,7.8904,57
