network,seed,case_id,source,class_id,class_name,is_evaluable,domain_voxels,GT_voxels,Pred_voxels,TP,FP,FN,TN,TP_percent,FP_percent,FN_percent,TN_percent,Dice,IoU,Precision,Recall,Specificity,FPR,FP_GT_ratio,HD95,missed,absent_FP_voxels,absent_FP_rate,absent_FP_incidence
swinunetr,20260521,156052000036762,HZAU,1,front,True,12790222,3240912,3159676,3127195,32481,113717,9516829,24.449888360030027,0.2539518078732332,0.8890932463877484,74.40706658570899,0.9771586610480162,0.9553374739910545,0.9897201485215573,0.9649120371056048,0.9965986024121114,0.003401397587888549,0.01002217894222367,11.795129761219595,False,nan,nan,nan
swinunetr,20260521,156052000036762,HZAU,2,middle,True,12790222,2983434,3021214,2923643,97571,59791,9709217,22.85842262941175,0.7628561881099484,0.4674742940349276,75.91124688844337,0.9737933014558056,0.9489251072296215,0.9677047041354899,0.9799590002661362,0.9900506669462009,0.009949333053799062,0.032704259588112225,10.0,False,nan,nan,nan
swinunetr,20260521,156052000036762,HZAU,3,end,True,12790222,3153163,3172125,3129692,42433,23471,9594626,24.46941108606246,0.3317612469900835,0.18350736992680816,75.01532029702065,0.9895808696773966,0.9793766170692415,0.9866231627063877,0.9925563632454142,0.9955968932015462,0.004403106798453761,0.013457280831977288,5.0,False,nan,nan,nan
swinunetr,20260521,156052000036762,HZAU,4,left_kidney,True,12790222,22093,22109,21498,611,595,12767518,0.1680815235263313,0.004777086746422385,0.004651991185141274,99.8224893985421,0.9727161666892901,0.9468816067653277,0.972364195576462,0.9730683927035713,0.9999521464734574,4.785352654253415e-05,0.027655818585072194,1.2510013580322266,False,nan,nan,nan
swinunetr,20260521,156052000036762,HZAU,5,right_kidney,True,12790222,24940,24378,24106,272,834,12765010,0.18847210001515222,0.0021266245417788684,0.006520606131777853,99.80288066931129,0.9775741108722982,0.9561320006346185,0.9888423988842399,0.9665597433841219,0.9999786922059379,2.130779406205049e-05,0.01090617481956696,1.251000165939331,False,nan,nan,nan
swinunetr,20260521,156052000036762,HZAU,6,testis,False,12790222,0,0,0,0,0,12790222,0.0,0.0,0.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0
swinunetr,20260521,156052000036762,HZAU,7,thoracic_cavity,True,12790222,621252,624040,617688,6352,3564,12162618,4.829376691037888,0.04966293782860063,0.02786503627536723,95.09309533485815,0.9920372089437658,0.9842002281693552,0.989821165309916,0.9942631975430261,0.9994780166275371,0.0005219833724629118,0.010224514367760586,1.251007080078125,False,nan,nan,nan
swinunetr,20260521,156052000036762,HZAU,8,abdominal_and_pelvic_cavity,True,12790222,1837345,1832282,1820108,12174,17237,10940703,14.230464490764898,0.0951820851897645,0.13476701186265572,85.53958641218267,0.9919852889680614,0.984098027649351,0.9933558262319883,0.990618528365658,0.9988885112103423,0.001111488789657731,0.006625865038955667,2.5019989013671875,False,nan,nan,nan
swinunetr,20260521,156052000036762,HZAU,9,head,True,12790222,891348,916517,879422,37095,11926,11861779,6.875736793309764,0.2900262403576732,0.09324310398990729,92.74099386234266,0.9728845903870035,0.9472008513177438,0.9595261189917917,0.9866202650367758,0.9968824781235602,0.003117521876439737,0.041616742282475534,10.0,False,nan,nan,nan
swinunetr,20260521,156052000030695,HZAU,1,front,True,11025443,2620359,2783948,2600811,183137,19548,8221947,23.589174602780133,1.661039833047978,0.17729899832596296,74.57248656584594,0.9624956539293568,0.927702768257918,0.9342168029000542,0.9925399534949219,0.9782111636243017,0.02178883637569833,0.06989004178435092,21.104143993516615,False,nan,nan,nan
