network,seed,case_id,swap_rate,lp_dice_gap,merged_dice,split_dice,swap_voxels,has_swap
swinunetr,20260520,133140_114338,0.000087,0.000116,0.952144,0.952028,11,1
swinunetr,20260520,136518_122095,0.154443,0.155077,0.962160,0.807083,20217,1
swinunetr,20260520,136032_122089,0.000000,-0.000045,0.947265,0.947310,0,0
swinunetr,20260520,136514_122984,0.000000,-0.000032,0.962513,0.962545,0,0
swinunetr,20260520,146478_111610,0.000000,-0.000088,0.953804,0.953893,0,0
swinunetr,20260520,156052000036762,0.000064,0.000159,0.971642,0.971483,3,1
swinunetr,20260520,156052000030703,0.000000,-0.000185,0.962935,0.963120,0,0
swinunetr,20260520,156052000030695,0.000732,0.000556,0.969443,0.968886,29,1
swinunetr,20260520,156052000036792,0.000000,0.000101,0.979544,0.979444,0,0
swinunetr,20260520,156052000037111,0.000000,0.000245,0.954087,0.953842,0,0
swinunetr,20260520,156052000037130,0.000000,-0.000035,0.973420,0.973455,0,0
swinunetr,20260520,156052000036803,0.000000,0.000008,0.980164,0.980156,0,0
swinunetr,20260520,156052000037131,0.000000,0.000001,0.980612,0.980611,0,0
swinunetr,20260520,156052000037132,0.000000,0.000086,0.954284,0.954199,0,0
swinunetr,20260520,156052000037142,0.011578,0.011680,0.979047,0.967367,721,1
swinunetr,20260520,156052000037134,0.000000,0.000000,0.968175,0.968175,0,0
swinunetr,20260520,156052000037184,0.020632,0.020520,0.970763,0.950243,816,1
swinunetr,20260520,156052000037201,0.000000,0.000179,0.971476,0.971297,0,0
swinunetr,20260520,156052000037404,0.000000,0.000430,0.959538,0.959108,0,0
swinunetr,20260520,156052000037636,0.049755,0.049718,0.981090,0.931372,2833,1
swinunetr,20260520,156052000037670,0.000000,-0.000008,0.975126,0.975134,0,0
swinunetr,20260520,156052000037691,0.010313,0.010409,0.970360,0.959951,417,1
swinunetr,20260520,156202411000033,0.000000,0.000013,0.973736,0.973722,0,0
swinunetr,20260520,156202411000574,0.000000,0.000147,0.977273,0.977126,0,0
swinunetr,20260520,206178_202851,0.000000,0.000002,0.966108,0.966106,0,0
swinunetr,20260520,205870_202923,0.000000,-0.000226,0.968900,0.969127,0,0
swinunetr,20260520,207541_202151,0.000000,-0.000726,0.944760,0.945486,0,0
swinunetr,20260520,207633_204331,0.000000,0.000078,0.963224,0.963147,0,0
swinunetr,20260520,305810_305052,0.005963,0.006036,0.952909,0.946873,782,1
swinunetr,20260520,308495_301122,0.001924,0.002551,0.937063,0.934512,181,1
swinunetr,20260520,308240_310625,0.000000,-0.000108,0.956104,0.956212,0,0
swinunetr,20260520,308577_304377,0.014706,0.015626,0.938146,0.922520,1457,1
swinunetr,20260520,313120_310061,0.000068,0.000043,0.952398,0.952355,5,1
swinunetr,20260520,403339_402475,0.004595,0.004648,0.935591,0.930943,573,1
swinunetr,20260520,404717_401091,0.003173,0.002897,0.949827,0.946931,292,1
swinunetr,20260520,403390_402127,0.127801,0.128885,0.943872,0.814987,14040,1
swinunetr,20260520,404728_401086,0.251381,0.267662,0.919752,0.652090,28665,1
swinunetr,20260520,405948_400388,0.000000,0.001081,0.926558,0.925477,0,0
swinunetr,20260520,501877_500337,0.000000,0.000171,0.928078,0.927907,0,0
swinunetr_condlr,20260520,133140_114338,0.000000,0.000083,0.955265,0.955182,0,0
swinunetr_condlr,20260520,136518_122095,0.000000,0.000035,0.964078,0.964042,0,0
swinunetr_condlr,20260520,136032_122089,0.000000,0.000242,0.951996,0.951754,0,0
swinunetr_condlr,20260520,136514_122984,0.000000,-0.000035,0.962090,0.962125,0,0
swinunetr_condlr,20260520,146478_111610,0.000000,-0.000049,0.954983,0.955032,0,0
swinunetr_condlr,20260520,156052000030695,0.000000,-0.000123,0.973782,0.973905,0,0
swinunetr_condlr,20260520,156052000036762,0.000000,0.000056,0.970860,0.970804,0,0
swinunetr_condlr,20260520,156052000030703,0.000000,-0.000040,0.970106,0.970146,0,0
swinunetr_condlr,20260520,156052000036792,0.000000,-0.000039,0.980403,0.980442,0,0
swinunetr_condlr,20260520,156052000037111,0.000000,0.000119,0.951197,0.951078,0,0
swinunetr_condlr,20260520,156052000037130,0.000000,-0.000018,0.977387,0.977405,0,0
swinunetr_condlr,20260520,156052000036803,0.000000,0.000016,0.982688,0.982672,0,0
swinunetr_condlr,20260520,156052000037131,0.000000,-0.000046,0.982691,0.982738,0,0
