network,seed,case_id,swap_rate,lp_dice_gap,merged_dice,split_dice,swap_voxels,has_swap
nnunet_v1,20260520,133140_114338,0.000143,0.000282,0.955447,0.955165,18,1
nnunet_v1,20260520,146478_111610,0.000084,0.000042,0.952872,0.952830,10,1
nnunet_v1,20260520,136032_122089,0.044746,0.045212,0.958122,0.912909,5953,1
nnunet_v1,20260520,156052000036762,0.000000,0.000033,0.979048,0.979015,0,0
nnunet_v1,20260520,136518_122095,0.259650,0.270947,0.966803,0.695855,33989,1
nnunet_v1,20260520,136514_122984,0.029234,0.028480,0.967410,0.938930,3586,1
nnunet_v1,20260520,156052000030695,0.231839,0.255666,0.977767,0.722101,9188,1
nnunet_v1,20260520,156052000030703,0.000000,0.000055,0.976723,0.976668,0,0
nnunet_v1,20260520,156052000037111,0.000000,-0.000161,0.969481,0.969642,0,0
nnunet_v1,20260520,156052000036792,0.448443,0.530582,0.976553,0.445971,18692,1
nnunet_v1,20260520,156052000037130,0.000312,0.000292,0.971042,0.970750,24,1
nnunet_v1,20260520,156052000036803,0.002751,0.002770,0.979080,0.976311,273,1
nnunet_v1,20260520,156052000037131,0.000000,0.000059,0.983158,0.983099,0,0
nnunet_v1,20260520,156052000037132,0.000000,0.000250,0.955796,0.955546,0,0
nnunet_v1,20260520,156052000037142,0.180052,0.186691,0.980146,0.793455,11212,1
nnunet_v1,20260520,156052000037134,0.000000,-0.000010,0.978018,0.978028,0,0
nnunet_v1,20260520,156052000037201,0.014119,0.014080,0.974850,0.960771,817,1
nnunet_v1,20260520,156052000037184,0.046396,0.045423,0.967064,0.921641,1835,1
nnunet_v1,20260520,156052000037670,0.000000,-0.000017,0.978699,0.978715,0,0
nnunet_v1,20260520,156052000037636,0.166231,0.170322,0.978625,0.808303,9465,1
nnunet_v1,20260520,156202411000033,0.000000,-0.000008,0.979435,0.979443,0,0
nnunet_v1,20260520,156052000037691,0.000000,0.000162,0.973778,0.973616,0,0
nnunet_v1,20260520,156052000037404,0.023912,0.023531,0.962584,0.939054,1106,1
nnunet_v1,20260520,156202411000574,0.000000,0.000027,0.979893,0.979866,0,0
nnunet_v1,20260520,206178_202851,0.024379,0.024167,0.969825,0.945658,2675,1
nnunet_v1,20260520,205870_202923,0.014263,0.014115,0.972219,0.958104,2451,1
nnunet_v1,20260520,207541_202151,0.000000,-0.000100,0.955477,0.955577,0,0
nnunet_v1,20260520,207633_204331,0.000029,0.000099,0.968654,0.968555,3,1
nnunet_v1,20260520,305810_305052,0.075341,0.077131,0.955351,0.878219,9881,1
nnunet_v1,20260520,308577_304377,0.073086,0.074291,0.941878,0.867587,7241,1
nnunet_v1,20260520,308495_301122,0.031118,0.031062,0.963289,0.932227,2928,1
nnunet_v1,20260520,308240_310625,0.027909,0.028292,0.958102,0.929810,2468,1
nnunet_v1,20260520,313120_310061,0.000150,0.000060,0.955752,0.955692,11,1
nnunet_v1,20260520,403339_402475,0.078368,0.079482,0.945367,0.865885,9773,1
nnunet_v1,20260520,404728_401086,0.101877,0.102352,0.936813,0.834461,11617,1
nnunet_v1,20260520,403390_402127,0.057365,0.056149,0.951171,0.895023,6302,1
nnunet_v1,20260520,405948_400388,0.000000,0.001509,0.938309,0.936800,0,0
nnunet_v1,20260520,404717_401091,0.003966,0.003575,0.949560,0.945985,365,1
nnunet_v1,20260520,501877_500337,0.000000,-0.000053,0.935682,0.935735,0,0
nnunet_v1,20260521,133140_114338,0.005740,0.005910,0.954270,0.948360,722,1
nnunet_v1,20260521,146478_111610,0.000000,-0.000027,0.952365,0.952392,0,0
nnunet_v1,20260521,136518_122095,0.296960,0.317469,0.967782,0.650313,38873,1
nnunet_v1,20260521,136032_122089,0.000000,0.000003,0.956900,0.956897,0,0
nnunet_v1,20260521,136514_122984,0.013101,0.012784,0.964930,0.952146,1607,1
nnunet_v1,20260521,156052000030695,0.170422,0.181303,0.979603,0.798300,6754,1
nnunet_v1,20260521,156052000036762,0.000000,-0.000068,0.978080,0.978148,0,0
nnunet_v1,20260521,156052000030703,0.000000,-0.000029,0.976534,0.976563,0,0
nnunet_v1,20260521,156052000037111,0.000000,-0.000137,0.969385,0.969522,0,0
nnunet_v1,20260521,156052000036792,0.098148,0.099913,0.980920,0.881007,4091,1
nnunet_v1,20260521,156052000037131,0.000000,0.000041,0.982908,0.982867,0,0
nnunet_v1,20260521,156052000037130,0.000000,0.000094,0.975744,0.975649,0,0
nnunet_v1,20260521,156052000037132,0.000000,0.000258,0.956078,0.955820,0,0
nnunet_v1,20260521,156052000036803,0.029657,0.029835,0.981392,0.951558,2943,1
nnunet_v1,20260521,156052000037134,0.000000,-0.000028,0.976927,0.976955,0,0
nnunet_v1,20260521,156052000037142,0.150632,0.154311,0.979859,0.825548,9380,1
nnunet_v1,20260521,156052000037201,0.000000,0.000249,0.975695,0.975446,0,0
nnunet_v1,20260521,156052000037404,0.044992,0.043485,0.960085,0.916600,2081,1
nnunet_v1,20260521,156052000037184,0.000000,-0.000152,0.971595,0.971747,0,0
nnunet_v1,20260521,156052000037636,0.017738,0.017636,0.981287,0.963652,1010,1
nnunet_v1,20260521,156052000037670,0.000000,0.000005,0.978519,0.978514,0,0
nnunet_v1,20260521,156202411000033,0.000000,0.000019,0.978116,0.978097,0,0
nnunet_v1,20260521,156052000037691,0.001731,0.001564,0.974672,0.973108,70,1
nnunet_v1,20260521,156202411000574,0.000000,0.000059,0.978056,0.977997,0,0
nnunet_v1,20260521,205870_202923,0.004120,0.004048,0.974601,0.970553,708,1
nnunet_v1,20260521,206178_202851,0.051346,0.050861,0.969641,0.918780,5634,1
nnunet_v1,20260521,207541_202151,0.034293,0.033592,0.959779,0.926187,3611,1
nnunet_v1,20260521,207633_204331,0.000000,0.000075,0.970071,0.969996,0,0
nnunet_v1,20260521,305810_305052,0.032726,0.033520,0.956410,0.922890,4292,1
nnunet_v1,20260521,308240_310625,0.124835,0.127082,0.960398,0.833316,11039,1
nnunet_v1,20260521,308577_304377,0.046732,0.047495,0.940949,0.893453,4630,1
nnunet_v1,20260521,308495_301122,0.017249,0.017054,0.959694,0.942640,1623,1
nnunet_v1,20260521,313120_310061,0.005904,0.005667,0.954714,0.949047,433,1
nnunet_v1,20260521,404728_401086,0.000544,0.001567,0.934937,0.933370,62,1
nnunet_v1,20260521,403339_402475,0.000136,0.000115,0.944518,0.944403,17,1
nnunet_v1,20260521,403390_402127,0.248293,0.260975,0.949226,0.688251,27277,1
nnunet_v1,20260521,404717_401091,0.007063,0.006763,0.946466,0.939703,650,1
nnunet_v1,20260521,405948_400388,0.018817,0.020080,0.940769,0.920690,2489,1
nnunet_v1,20260521,501877_500337,0.000000,-0.000078,0.937144,0.937222,0,0
nnunet_v1,20260522,133140_114338,0.072119,0.073086,0.954625,0.881539,9071,1
nnunet_v1,20260522,146478_111610,0.000000,-0.000015,0.953747,0.953762,0,0
nnunet_v1,20260522,136518_122095,0.303561,0.324504,0.967673,0.643170,39737,1
nnunet_v1,20260522,136032_122089,0.000000,0.000059,0.957818,0.957759,0,0
nnunet_v1,20260522,136514_122984,0.039172,0.038252,0.966819,0.928567,4805,1
nnunet_v1,20260522,156052000036762,0.000000,-0.000062,0.978301,0.978363,0,0
nnunet_v1,20260522,156052000030695,0.241301,0.267079,0.981355,0.714277,9563,1
nnunet_v1,20260522,156052000030703,0.008324,0.008299,0.976198,0.967900,446,1
nnunet_v1,20260522,156052000036792,0.368288,0.392993,0.975683,0.582690,15351,1
nnunet_v1,20260522,156052000037111,0.000000,-0.000091,0.973122,0.973213,0,0
nnunet_v1,20260522,156052000037130,0.000000,-0.000014,0.976552,0.976566,0,0
nnunet_v1,20260522,156052000036803,0.063889,0.064517,0.981464,0.916948,6340,1
nnunet_v1,20260522,156052000037131,0.000000,0.000057,0.979076,0.979019,0,0
nnunet_v1,20260522,156052000037132,0.000000,0.000181,0.960258,0.960077,0,0
nnunet_v1,20260522,156052000037134,0.000000,0.000002,0.976597,0.976594,0,0
nnunet_v1,20260522,156052000037142,0.159336,0.163235,0.977451,0.814216,9922,1
nnunet_v1,20260522,156052000037184,0.021466,0.020775,0.968034,0.947259,849,1
nnunet_v1,20260522,156052000037201,0.000000,0.000242,0.972611,0.972369,0,0
nnunet_v1,20260522,156202411000033,0.000000,0.000019,0.976609,0.976590,0,0
nnunet_v1,20260522,156202411000574,0.000000,0.000051,0.978088,0.978037,0,0
nnunet_v1,20260522,156052000037636,0.000000,0.000029,0.978939,0.978910,0,0
nnunet_v1,20260522,156052000037404,0.035717,0.034717,0.952652,0.917936,1652,1
nnunet_v1,20260522,156052000037670,0.000000,0.000002,0.977503,0.977501,0,0
nnunet_v1,20260522,156052000037691,0.012093,0.011940,0.974044,0.962104,489,1
nnunet_v1,20260522,205870_202923,0.025110,0.025109,0.972153,0.947045,4315,1
nnunet_v1,20260522,206178_202851,0.027824,0.027577,0.971111,0.943534,3053,1
nnunet_v1,20260522,207541_202151,0.035262,0.034438,0.957894,0.923456,3713,1
nnunet_v1,20260522,207633_204331,0.000000,0.000041,0.968153,0.968113,0,0
nnunet_v1,20260522,305810_305052,0.097209,0.099249,0.955117,0.855868,12749,1
nnunet_v1,20260522,308495_301122,0.047559,0.047545,0.960222,0.912677,4475,1
nnunet_v1,20260522,308577_304377,0.125259,0.127557,0.939042,0.811485,12410,1
nnunet_v1,20260522,308240_310625,0.042622,0.043308,0.959611,0.916303,3769,1
nnunet_v1,20260522,313120_310061,0.065718,0.063591,0.955830,0.892239,4820,1
nnunet_v1,20260522,403339_402475,0.161764,0.167990,0.946718,0.778728,20173,1
nnunet_v1,20260522,404728_401086,0.044734,0.044823,0.926626,0.881803,5101,1
nnunet_v1,20260522,404717_401091,0.012626,0.011973,0.939760,0.927787,1162,1
nnunet_v1,20260522,405948_400388,0.003689,0.004224,0.944363,0.940139,488,1
nnunet_v1,20260522,403390_402127,0.108049,0.106933,0.951094,0.844162,11870,1
nnunet_v1,20260522,501877_500337,0.000000,-0.000111,0.934847,0.934957,0,0
